timestamp, utilization.gpu [%], memory.used [MiB], memory.free [MiB], temperature.gpu
2026/03/19 23:02:03.436, [N/A], 68 MiB, 95252 MiB, 30
2026/03/19 23:02:03.436, 96 %, 2025 MiB, 93295 MiB, 67
2026/03/19 23:02:03.436, 0 %, 4 MiB, 95317 MiB, 28
2026/03/19 23:02:03.436, 89 %, 61783 MiB, 33538 MiB, 61
2026/03/19 23:03:03.437, [N/A], 27305 MiB, 68016 MiB, 35
2026/03/19 23:03:03.438, [N/A], 93 MiB, 95227 MiB, 31
2026/03/19 23:03:03.438, [N/A], 93 MiB, 80987 MiB, 28
2026/03/19 23:03:03.439, [N/A], 93 MiB, 80987 MiB, 26
2026/03/19 23:03:03.439, [N/A], 68 MiB, 95252 MiB, 30
2026/03/19 23:03:03.440, 98 %, 2025 MiB, 93295 MiB, 62
2026/03/19 23:03:03.440, 0 %, 4 MiB, 95317 MiB, 28
2026/03/19 23:03:03.440, 97 %, 61783 MiB, 33538 MiB, 60
2026/03/19 23:04:03.441, [N/A], 27305 MiB, 68016 MiB, 34
2026/03/19 23:04:03.442, [N/A], 93 MiB, 95227 MiB, 30
2026/03/19 23:04:03.442, [N/A], 93 MiB, 80987 MiB, 27
2026/03/19 23:04:03.443, [N/A], 93 MiB, 80987 MiB, 26
2026/03/19 23:04:03.443, [N/A], 68 MiB, 95252 MiB, 30
2026/03/19 23:04:03.444, 98 %, 2025 MiB, 93295 MiB, 66
2026/03/19 23:04:03.444, 0 %, 4 MiB, 95317 MiB, 27
2026/03/19 23:04:03.444, 86 %, 61783 MiB, 33538 MiB, 60
2026/03/19 23:05:03.445, [N/A], 27305 MiB, 68016 MiB, 33
2026/03/19 23:05:03.445, [N/A], 93 MiB, 95227 MiB, 30
2026/03/19 23:05:03.446, [N/A], 93 MiB, 80987 MiB, 27
2026/03/19 23:05:03.446, [N/A], 93 MiB, 80987 MiB, 25
2026/03/19 23:05:03.447, [N/A], 68 MiB, 95252 MiB, 29
2026/03/19 23:05:03.448, 98 %, 2025 MiB, 93295 MiB, 66
2026/03/19 23:05:03.448, 0 %, 4 MiB, 95317 MiB, 27
2026/03/19 23:05:03.448, 95 %, 61783 MiB, 33538 MiB, 60
2026/03/19 23:06:03.449, [N/A], 27305 MiB, 68016 MiB, 33
2026/03/19 23:06:03.449, [N/A], 93 MiB, 95227 MiB, 30
