timestamp, utilization.gpu [%], memory.used [MiB], memory.free [MiB], temperature.gpu
2026/03/20 02:14:37.348, 94 %, 2025 MiB, 93295 MiB, 67
2026/03/20 02:14:37.348, 0 %, 4 MiB, 95317 MiB, 28
2026/03/20 02:14:37.348, 95 %, 13015 MiB, 82305 MiB, 63
2026/03/20 02:15:37.349, [N/A], 27305 MiB, 68016 MiB, 34
2026/03/20 02:15:37.350, [N/A], 93 MiB, 95227 MiB, 30
2026/03/20 02:15:37.350, [N/A], 93 MiB, 80987 MiB, 27
2026/03/20 02:15:37.351, [N/A], 93 MiB, 80987 MiB, 26
2026/03/20 02:15:37.351, [N/A], 68 MiB, 95252 MiB, 29
2026/03/20 02:15:37.352, 98 %, 2025 MiB, 93295 MiB, 65
2026/03/20 02:15:37.352, 0 %, 4 MiB, 95317 MiB, 27
2026/03/20 02:15:37.352, 95 %, 13015 MiB, 82305 MiB, 63
2026/03/20 02:16:37.352, [N/A], 27305 MiB, 68016 MiB, 33
2026/03/20 02:16:37.353, [N/A], 93 MiB, 95227 MiB, 30
2026/03/20 02:16:37.354, [N/A], 93 MiB, 80987 MiB, 26
2026/03/20 02:16:37.354, [N/A], 93 MiB, 80987 MiB, 25
2026/03/20 02:16:37.355, [N/A], 68 MiB, 95252 MiB, 29
2026/03/20 02:16:37.355, 98 %, 2025 MiB, 93295 MiB, 65
2026/03/20 02:16:37.355, 0 %, 4 MiB, 95317 MiB, 26
2026/03/20 02:16:37.355, 93 %, 13015 MiB, 82305 MiB, 62
2026/03/20 02:17:37.357, [N/A], 27305 MiB, 68016 MiB, 33
2026/03/20 02:17:37.357, [N/A], 93 MiB, 95227 MiB, 29
2026/03/20 02:17:37.358, [N/A], 93 MiB, 80987 MiB, 26
2026/03/20 02:17:37.359, [N/A], 93 MiB, 80987 MiB, 25
2026/03/20 02:17:37.359, [N/A], 68 MiB, 95252 MiB, 28
2026/03/20 02:17:37.360, 94 %, 2025 MiB, 93295 MiB, 65
2026/03/20 02:17:37.360, 0 %, 4 MiB, 95317 MiB, 26
2026/03/20 02:17:37.360, 95 %, 13015 MiB, 82305 MiB, 62
2026/03/20 02:18:37.361, [N/A], 27305 MiB, 68016 MiB, 33
2026/03/20 02:18:37.361, [N/A], 93 MiB, 95227 MiB, 30
2026/03/20 02:18:37.362, [N/A], 93 MiB, 80987 MiB, 27
2026/03/20 02:18:37.362, [N/A], 93 MiB, 80987 MiB, 25
2026/03/20 02:18:37.363, [N/A], 68 MiB, 95252 MiB, 29
2026/03/20 02:18:37.363, 98 %, 2025 MiB, 93295 MiB, 66
2026/03/20 02:18:37.363, 0 %, 4 MiB, 95317 MiB, 27
2026/03/20 02:18:37.364, 95 %, 13015 MiB, 82305 MiB, 63
2026/03/20 02:19:37.364, [N/A], 27305 MiB, 68016 MiB, 34
2026/03/20 02:19:37.365, [N/A], 93 MiB, 95227 MiB, 30
2026/03/20 02:19:37.365, [N/A], 93 MiB, 80987 MiB, 27
2026/03/20 02:19:37.366, [N/A], 93 MiB, 80987 MiB, 26
2026/03/20 02:19:37.366, [N/A], 68 MiB, 95252 MiB, 29
2026/03/20 02:19:37.367, 62 %, 2025 MiB, 93295 MiB, 64
2026/03/20 02:19:37.367, 0 %, 4 MiB, 95317 MiB, 27
2026/03/20 02:19:37.367, 95 %, 13015 MiB, 82305 MiB, 63
2026/03/20 02:20:37.368, [N/A], 27305 MiB, 68016 MiB, 34
2026/03/20 02:20:37.369, [N/A], 93 MiB, 95227 MiB, 31
2026/03/20 02:20:37.369, [N/A], 93 MiB, 80987 MiB, 27
2026/03/20 02:20:37.370, [N/A], 93 MiB, 80987 MiB, 26
2026/03/20 02:20:37.370, [N/A], 68 MiB, 95252 MiB, 29
2026/03/20 02:20:37.371, 98 %, 2025 MiB, 93295 MiB, 66
2026/03/20 02:20:37.371, 0 %, 4 MiB, 95317 MiB, 27
2026/03/20 02:20:37.371, 95 %, 13015 MiB, 82305 MiB, 63
2026/03/20 02:21:37.372, [N/A], 27305 MiB, 68016 MiB, 34
2026/03/20 02:21:37.373, [N/A], 93 MiB, 95227 MiB, 30
2026/03/20 02:21:37.373, [N/A], 93 MiB, 80987 MiB, 27
2026/03/20 02:21:37.374, [N/A], 93 MiB, 80987 MiB, 25
2026/03/20 02:21:37.375, [N/A], 68 MiB, 95252 MiB, 29
2026/03/20 02:21:37.375, 94 %, 2025 MiB, 93295 MiB, 66
2026/03/20 02:21:37.375, 0 %, 4 MiB, 95317 MiB, 27
2026/03/20 02:21:37.375, 96 %, 13015 MiB, 82305 MiB, 63
2026/03/20 02:22:37.376, [N/A], 27305 MiB, 68016 MiB, 33
2026/03/20 02:22:37.377, [N/A], 93 MiB, 95227 MiB, 30
2026/03/20 02:22:37.377, [N/A], 93 MiB, 80987 MiB, 26
2026/03/20 02:22:37.378, [N/A], 93 MiB, 80987 MiB, 25
2026/03/20 02:22:37.378, [N/A], 68 MiB, 95252 MiB, 28
2026/03/20 02:22:37.379, 31 %, 2025 MiB, 93295 MiB, 64
2026/03/20 02:22:37.379, 0 %, 4 MiB, 95317 MiB, 26
2026/03/20 02:22:37.379, 94 %, 13015 MiB, 82305 MiB, 62
2026/03/20 02:23:37.380, [N/A], 27305 MiB, 68016 MiB, 33
2026/03/20 02:23:37.381, [N/A], 93 MiB, 95227 MiB, 29
2026/03/20 02:23:37.381, [N/A], 93 MiB, 80987 MiB, 26
2026/03/20 02:23:37.382, [N/A], 93 MiB, 80987 MiB, 25
2026/03/20 02:23:37.382, [N/A], 68 MiB, 95252 MiB, 28
2026/03/20 02:23:37.383, 98 %, 2025 MiB, 93295 MiB, 65
2026/03/20 02:23:37.383, 0 %, 4 MiB, 95317 MiB, 26
2026/03/20 02:23:37.383, 95 %, 13015 MiB, 82305 MiB, 63
2026/03/20 02:24:37.384, [N/A], 27305 MiB, 68016 MiB, 34
2026/03/20 02:24:37.385, [N/A], 93 MiB, 95227 MiB, 30
2026/03/20 02:24:37.385, [N/A], 93 MiB, 80987 MiB, 27
2026/03/20 02:24:37.386, [N/A], 93 MiB, 80987 MiB, 26
2026/03/20 02:24:37.386, [N/A], 68 MiB, 95252 MiB, 29
2026/03/20 02:24:37.387, 98 %, 2025 MiB, 93295 MiB, 66
2026/03/20 02:24:37.387, 0 %, 4 MiB, 95317 MiB, 27
